Date,Open,High,Low,Close,Adj Close,Volume
2020-02-26,317.0,320.5,316.5,318.5,294.8160095214844,60479362
2020-02-27,319.0,320.0,315.0,316.0,292.50189208984375,61250927
2020-03-02,308.0,317.0,308.0,311.0,287.8737487792969,79912942
2020-03-03,318.5,320.0,316.0,317.5,293.8904113769531,49679411
2020-03-04,322.0,322.0,317.0,320.5,296.66729736328125,42941146
2020-03-05,325.0,326.0,323.0,323.0,298.9814147949219,37861525
2020-03-06,320.0,320.5,315.0,315.0,291.5762939453125,51546760
2020-03-09,307.5,310.0,305.5,305.5,282.7826843261719,87871277
2020-03-10,301.5,309.0,301.0,307.0,284.17120361328125,71950130
2020-03-11,309.0,310.5,302.0,302.0,279.54302978515625,62216710
2020-03-12,299.0,299.0,287.0,294.0,272.1379089355469,113527351
2020-03-13,275.0,294.0,272.5,290.0,268.4353332519531,149995148
2020-03-16,285.0,291.0,275.5,276.5,255.93917846679688,103873228
2020-03-17,265.0,276.5,265.0,268.0,248.0712432861328,121323651
2020-03-18,269.5,272.5,260.0,260.0,240.66615295410156,117437643
2020-03-19,252.0,253.0,235.5,248.0,231.78720092773438,160811697
2020-03-20,258.5,270.0,256.0,270.0,252.3489532470703,157664726
2020-03-23,257.0,262.5,252.0,255.0,238.32955932617188,76466709
2020-03-24,268.0,274.0,266.0,267.5,250.01235961914062,81952933
2020-03-25,276.5,280.0,274.0,277.0,258.8913269042969,79447199
2020-03-26,279.5,280.0,275.5,280.0,261.69525146484375,52845633
2020-03-27,284.0,286.0,273.0,273.0,255.15283203125,68752306
2020-03-30,263.5,269.0,262.5,267.5,250.01235961914062,49159956
2020-03-31,273.0,274.0,269.5,274.0,256.0874938964844,48837923
2020-04-01,276.5,276.5,271.5,271.5,253.7509002685547,44515034
2020-04-06,273.0,275.5,270.0,275.5,257.48944091796875,56392754
2020-04-07,283.5,284.0,280.5,283.0,264.4990539550781,48787346
2020-04-08,285.0,285.5,283.0,285.0,266.3683776855469,37912826
2020-04-09,287.5,288.0,282.5,283.0,264.4990539550781,27620430
2020-04-10,280.0,282.0,279.0,279.5,261.2278747558594,27252858
2020-04-13,278.5,281.5,278.5,278.5,260.2933044433594,22196596
2020-04-14,281.0,285.5,280.0,285.0,266.3683776855469,48809688
2020-04-15,287.0,288.5,286.0,287.5,268.7049560546875,55216434
2020-04-16,283.0,288.5,283.0,286.5,267.77020263671875,47815280
2020-04-17,303.5,308.5,300.5,306.5,286.4627990722656,116368201
2020-04-20,308.0,309.0,302.5,304.0,284.1262512207031,41381669
2020-04-21,300.5,301.5,293.5,295.0,275.714599609375,61479357
2020-04-22,294.5,295.0,290.5,294.0,274.77996826171875,42192580
2020-04-23,300.0,300.0,294.0,295.5,276.1819152832031,39474478
2020-04-24,295.5,297.0,294.0,294.0,274.77996826171875,26008090
2020-04-27,298.0,298.5,296.0,298.0,278.5184326171875,38493406
2020-04-28,298.5,298.5,294.5,296.5,277.1166076660156,37395165
2020-04-29,299.0,301.5,298.0,299.0,279.453125,44059301
2020-04-30,302.0,305.0,301.5,304.5,284.5935974121094,55126085
2020-05-04,294.5,296.5,294.0,295.0,275.714599609375,71581861
2020-05-05,296.5,298.0,295.0,295.5,276.1819152832031,23547405
2020-05-06,294.5,296.0,292.5,296.0,276.64923095703125,34240479
2020-05-07,294.5,299.0,294.5,297.5,278.0511474609375,27621198
2020-05-08,300.0,300.0,296.0,297.5,278.0511474609375,32295893
2020-05-11,300.0,301.5,298.5,301.0,281.3222961425781,28727019
2020-05-12,297.5,298.5,295.0,295.0,275.714599609375,52089788
2020-05-13,293.0,297.0,292.5,297.0,277.5838317871094,26156418
2020-05-14,293.0,295.0,292.5,293.0,273.84539794921875,34315948
2020-05-15,297.5,298.5,294.5,298.0,278.5184326171875,42494804
2020-05-18,291.0,293.5,290.0,290.0,271.0414733886719,84986065
2020-05-19,294.0,294.0,291.5,291.5,272.4433288574219,51250214
2020-05-20,293.0,294.0,291.0,294.0,274.77996826171875,32677994
2020-05-21,296.0,298.0,295.0,297.5,278.0511474609375,30997468
2020-05-22,294.5,295.0,291.0,292.0,272.91070556640625,40192923
2020-05-25,290.5,293.0,288.5,292.0,272.91070556640625,26803223
2020-05-26,295.0,297.5,293.5,295.5,276.1819152832031,33856481
2020-05-27,297.0,298.0,295.5,296.5,277.1166076660156,23375959
2020-05-28,298.5,298.5,293.0,294.0,274.77996826171875,28444568
2020-05-29,292.0,292.5,290.0,292.0,272.91070556640625,79774181
2020-06-01,294.0,296.5,293.5,295.5,276.1819152832031,35811214
2020-06-02,296.0,297.5,296.0,296.5,277.1166076660156,24771587
2020-06-03,300.0,301.0,298.0,301.0,281.3222961425781,65176337
2020-06-04,305.0,306.0,304.0,306.0,285.99542236328125,46572451
2020-06-05,308.5,312.0,308.0,311.5,291.13592529296875,42981262
2020-06-08,316.0,319.0,315.0,318.0,297.2109680175781,50302921
2020-06-09,316.5,319.0,314.0,319.0,298.14569091796875,36417082
2020-06-10,319.0,324.0,318.0,322.5,301.41680908203125,39984259
2020-06-11,325.5,327.0,318.5,320.5,299.547607421875,50104255
2020-06-12,313.0,317.5,312.5,316.0,295.341796875,45992918
2020-06-15,316.0,317.5,308.5,309.5,289.2666931152344,51032404
2020-06-16,317.0,317.0,314.0,315.0,294.4071044921875,36608216
2020-06-17,316.5,317.0,313.5,315.0,294.4071044921875,34522968
2020-06-18,314.5,315.0,313.0,314.5,296.2913513183594,29044474
2020-06-19,314.0,314.5,312.0,314.5,296.2913513183594,48130280
2020-06-22,314.5,316.5,312.0,312.0,293.93609619140625,37374616
2020-06-23,316.0,316.5,312.5,315.0,296.7623596191406,41300084
2020-06-24,319.0,320.0,316.0,317.5,299.11761474609375,54147024
2020-06-29,314.0,315.0,310.0,312.0,293.93609619140625,56580892
2020-06-30,313.5,314.0,311.0,313.0,294.8782043457031,48991860
2020-07-01,315.0,318.0,314.0,317.5,299.11761474609375,29532342
2020-07-02,319.0,322.0,318.0,322.0,303.3570861816406,34526178
2020-07-03,327.0,330.5,326.5,329.5,310.4228820800781,53341987
2020-07-06,332.5,338.0,332.0,338.0,318.4307861328125,57256220
2020-07-07,343.5,346.0,338.0,338.5,318.90179443359375,59046323
2020-07-08,337.5,342.5,337.5,341.0,321.2570495605469,30720218
2020-07-09,346.0,347.0,343.0,345.0,325.0254821777344,35522376
2020-07-10,352.5,353.0,345.5,348.5,328.32281494140625,60902108
2020-07-13,351.0,354.5,350.5,354.5,333.9754943847656,48069523
2020-07-14,355.0,364.0,354.5,363.5,342.4543762207031,61764150
2020-07-15,366.0,370.0,361.0,363.0,341.9832458496094,73438362
2020-07-16,359.0,361.0,353.5,357.5,336.8017578125,68220512
2020-07-17,361.0,369.0,360.0,367.0,345.75177001953125,65727485
2020-07-20,370.0,370.0,362.5,366.0,344.80963134765625,42769238
2020-07-21,372.5,387.0,371.5,383.0,360.82537841796875,64219128
2020-07-22,381.0,386.0,379.0,384.0,361.7674865722656,43759670
2020-07-23,382.0,383.0,379.0,381.5,359.41217041015625,45209282
2020-07-24,390.0,395.0,382.0,386.0,363.65167236328125,86682734
2020-07-27,420.5,424.5,416.5,424.5,399.92266845703125,99333798
2020-07-28,464.0,466.5,428.5,435.0,409.8147277832031,166307746
2020-07-29,428.0,431.5,419.5,422.0,397.5674133300781,85663166
2020-07-30,436.5,441.0,428.5,434.0,408.8726501464844,69293949
2020-07-31,426.0,432.0,425.5,425.5,400.86474609375,49897674
2020-08-03,420.5,424.0,415.0,416.0,391.914794921875,76429571
2020-08-04,421.5,425.5,418.5,425.5,400.86474609375,41223445
2020-08-05,430.5,433.5,426.0,429.0,404.1621398925781,47223834
2020-08-06,437.5,438.0,431.0,435.0,409.8147277832031,41029627
2020-08-07,433.5,434.0,428.0,433.0,407.9305114746094,36589460
2020-08-10,427.5,437.5,427.5,435.5,410.2857666015625,36067500
2020-08-11,432.0,435.0,429.0,429.0,404.1621398925781,34545313
2020-08-12,422.0,423.5,419.0,419.0,394.7411193847656,52143474
2020-08-13,428.0,429.0,424.5,429.0,404.1621398925781,44352335
2020-08-14,424.0,428.0,423.0,427.0,402.27789306640625,23419955
2020-08-17,427.0,435.0,425.5,435.0,409.8147277832031,34137731
2020-08-18,440.0,440.5,432.0,433.0,407.9305114746094,41643160
2020-08-19,436.0,436.5,427.5,427.5,402.7489318847656,31486800
2020-08-20,427.0,427.5,401.0,415.0,390.97265625,75097235
2020-08-21,421.5,427.0,420.0,424.5,399.92266845703125,41609467
2020-08-24,427.5,434.5,425.0,428.0,403.2200012207031,48375406
2020-08-25,433.5,436.0,430.5,434.5,409.3436584472656,35977899
2020-08-26,435.5,442.0,435.0,442.0,416.4094543457031,39243340
2020-08-27,448.0,453.5,444.0,444.0,418.293701171875,53072712
2020-08-28,440.0,440.5,431.0,435.0,409.8147277832031,56842210
2020-08-31,437.0,439.5,426.5,426.5,401.8068542480469,81480538
2020-09-01,430.0,435.0,428.0,435.0,409.8147277832031,37429577
2020-09-02,441.0,441.0,430.5,433.0,407.9305114746094,34871407
2020-09-03,439.5,439.5,433.5,436.0,410.7568664550781,34951617
2020-09-04,427.0,432.5,427.0,429.0,404.1621398925781,46119911
2020-09-07,428.0,432.5,425.0,426.0,401.3358154296875,32019312
2020-09-08,428.0,433.0,427.5,431.0,406.04632568359375,23714670
2020-09-09,425.0,428.0,423.0,427.0,402.27789306640625,40551362
2020-09-10,432.5,435.0,430.5,435.0,409.8147277832031,35098921
2020-09-11,435.5,436.5,432.5,436.5,411.2278747558594,34298469
2020-09-14,436.0,442.0,435.5,441.0,415.4673156738281,39085833
2020-09-15,440.5,447.0,439.5,445.0,419.2357482910156,39061449
2020-09-16,460.0,462.0,455.5,458.0,431.4831237792969,64261238
2020-09-17,453.0,455.0,446.5,448.5,424.85223388671875,42058506
2020-09-18,447.0,449.5,443.0,444.0,420.5895080566406,52454922
2020-09-21,443.5,450.0,440.0,440.0,416.8003234863281,39463920
2020-09-22,440.0,441.0,436.0,437.0,413.95855712890625,36130639
2020-09-23,436.0,438.5,432.0,433.5,410.6430969238281,45710963
2020-09-24,425.5,429.0,423.0,423.0,400.6966857910156,79806381
2020-09-25,427.0,428.0,421.0,424.0,401.6440124511719,38775269
2020-09-28,427.0,431.5,424.5,431.5,408.74853515625,34156973
2020-09-29,432.5,435.0,428.0,431.0,408.2749328613281,32230502
2020-09-30,430.5,435.0,430.5,433.0,410.16943359375,27334204
2020-10-05,438.0,438.0,431.5,432.5,409.69580078125,32945832
2020-10-06,441.5,442.0,437.5,439.5,416.3266906738281,35775395
2020-10-07,435.0,445.0,435.0,443.0,419.6421813964844,42926239
2020-10-08,450.0,454.0,448.5,453.0,429.1149597167969,60853811
2020-10-12,458.0,462.0,457.5,460.0,435.74578857421875,64719223
2020-10-13,465.0,465.0,456.5,462.0,437.64044189453125,45750738
2020-10-14,460.5,461.0,457.0,459.0,434.7985534667969,40809241
2020-10-15,456.0,456.5,450.0,453.0,429.1149597167969,47775028
2020-10-16,451.0,456.0,448.5,449.0,425.3257751464844,46876801
2020-10-19,453.0,457.5,451.0,457.5,433.3776550292969,34470906
2020-10-20,455.5,457.0,451.0,451.0,427.2203369140625,25205638
2020-10-21,453.5,456.0,451.0,453.0,429.1149597167969,28058921
2020-10-22,450.0,455.0,449.5,455.0,431.0094299316406,23438547
2020-10-23,458.0,458.0,451.5,452.0,428.16766357421875,18777385
2020-10-26,455.0,455.0,450.0,450.0,426.2730712890625,15059581
2020-10-27,447.5,448.5,445.5,447.0,423.4313049316406,20117660
2020-10-28,445.0,447.0,443.0,444.0,420.5895080566406,24710230
2020-10-29,436.5,439.5,435.5,437.0,413.95855712890625,41285612
2020-10-30,437.0,437.0,432.0,432.0,409.2221984863281,47668895
2020-11-02,433.0,435.5,428.0,435.5,412.5376281738281,33477443
2020-11-03,439.5,443.0,438.0,441.0,417.7476501464844,30328495
2020-11-04,444.5,451.5,443.0,450.0,426.2730712890625,37512790
2020-11-05,451.5,451.5,445.5,451.0,427.2203369140625,34886108
2020-11-06,455.0,455.5,450.0,452.5,428.64129638671875,30154140
2020-11-09,458.0,460.0,454.0,458.5,434.324951171875,39245881
2020-11-10,452.0,454.5,448.5,451.0,427.2203369140625,34820499
2020-11-11,448.5,457.0,448.5,457.0,432.90399169921875,36765561
2020-11-12,463.0,463.5,457.5,458.0,433.8512878417969,40100880
2020-11-13,459.0,462.0,456.5,462.0,437.64044189453125,31037438
2020-11-16,470.0,484.5,469.0,484.0,458.4803771972656,81994937
2020-11-17,502.0,506.0,485.5,485.5,459.9012756347656,72413868
2020-11-18,490.0,497.0,486.5,497.0,470.7949523925781,50387727
2020-11-19,499.0,499.0,490.0,490.0,464.1639709472656,44220053
2020-11-20,486.0,490.0,486.0,488.0,462.2695007324219,32281453
2020-11-23,494.5,498.5,492.0,496.5,470.3213195800781,38084006
2020-11-24,499.5,500.0,491.5,492.0,466.05859375,35479226
2020-11-25,495.0,495.5,487.0,487.0,461.3221740722656,41419632
